handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost
mosaic-heart-earring-18k-gold-plated,Product,Mosaic Heart Earring 18k Gold Plated,"Product Description :   *Designer : Delicate and full of meaning.
This semi-jewelry necklace features a heart-shaped pendant with a sophisticated finish and a soft glow, conveying lightness, romance, and elegance.
*Dimensions : 0,59 x 0,78 inches 
*Material: Plated Gold 18k      
*Stones: Quartz Aragonite",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-11_mosaic-heart-earring-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-11,,150.0,0,FALSE,PERCENT,0,InStock,0,0
mosaic-heart-necklace-18k-gold-plated,Product,Mosaic Heart Necklace 18k Gold Plated,"Product Description :   *Designer : Delicate and full of meaning.
This semi-jewelry necklace features a heart-shaped pendant with a sophisticated finish and a soft glow, conveying lightness, romance, and elegance.
*Dimensions Pendant : 0,98 x 1,57 inches 
*Dimensions : 15.74 inches        *Material: Plated Gold 18k      
*Stones: Quartz Aragonite",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-12_mosaic-heart-necklace-18k-gold-plated_1.webp;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-12_mosaic-heart-necklace-18k-gold-plated_2.webp;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-12_mosaic-heart-necklace-18k-gold-plated_3.webp,18k GOLD Plated,GOLD-12,,195.0,0,FALSE,PERCENT,0,InStock,0,0
mosaic-heart-ring-18k-gold-plated,Product,Mosaic Heart Ring 18k Gold Plated,"Product Description :   *Designer : Delicate and full of meaning.
This semi-jewelry necklace features a heart-shaped pendant with a sophisticated finish and a soft glow, conveying lightness, romance, and elegance.
*Dimensions : 0,78 inches 
*Material: Plated Gold 18k      
*Stones: Quartz Aragonite..",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-13_mosaic-heart-ring-18k-gold-plated_1.webp;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-13_mosaic-heart-ring-18k-gold-plated_2.webp,18k GOLD Plated,GOLD-13,,120.0,0,FALSE,PERCENT,0,InStock,0,0
blue-triangle-earring-18k-gold-plated,Product,Blue Triangle Earring 18k Gold Plated,"Product Description :   *Designer : With a geometric design and a sophisticated finish, this triangular earring features the elegance of deep blue in a modern and timeless composition.
*Dimensions : 0,78 x 0,59 inches 
*Material: Plated Gold 18k      
*Stones: Blue Ágate",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-14_blue-triangle-earring-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-14,,80.0,0,FALSE,PERCENT,0,InStock,0,0
blue-prism-necklace-18k-gold-plated,Product,Blue Prism  Necklace 18k Gold Plated,"Product Description :   *Designer : With a geometric design and a sophisticated finish, this triangular earring features the elegance of deep blue in a modern and timeless composition.
*Dimensions : 17.71 inches.       *Dimensions Pendant : 0,78 x 0,59 inches 
*Material: Plated Gold 18k      
*Stones: Blue Ágate",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-15_blue-prism-necklace-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-15,,80.0,0,FALSE,PERCENT,0,InStock,0,0
green-prism-earring-18k-gold-plated,Product,Green Prism Earring 18k Gold Plated,"Product Description : Ideal for those seeking a contemporary, versatile accessory full of personality, it is perfect for elevating everyday looks or complementing more sophisticated outfits with a touch of color and style.
*Dimensions  : 1.18 x 0.78 inches 
*Material: Plated Gold 18k      
*Stones: Green Quartz",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-16_green-prism-earring-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-16,,100.0,0,FALSE,PERCENT,0,InStock,0,0
green-prism-necklace-18k-gold-plated,Product,Green Prism Necklace 18k Gold Plated,"Product Description : Ideal for those seeking a contemporary, versatile accessory full of personality, it is perfect for elevating everyday looks or complementing more sophisticated outfits with a touch of color and style.
*Dimensions  : 15.74 inches *Dimensions Pendant : 1.18 x 0.78 inches 
*Material: Plated Gold 18k      
*Stones: Green Quartz",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-17_green-prism-necklace-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-17,,100.0,0,FALSE,PERCENT,0,InStock,0,0
green-prism-ring-18k-gold-plated,Product,Green Prism Ring  18k Gold Plated,"Product Description : Ideal for those seeking a contemporary, versatile accessory full of personality, it is perfect for elevating everyday looks or complementing more sophisticated outfits with a touch of color and style.
*Dimensions  : 1.37 x 0.98 inches 
*Material: Plated Gold 18k      
*Stones: Green Quartz",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-18_green-prism-ring-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-18,,120.0,0,FALSE,PERCENT,0,InStock,0,0
blue-prism-ring-18k-gold-plated,Product,Blue Prism Ring  18k Gold Plated,"Product Description :   *Designer : With a geometric design and a sophisticated finish, this triangular earring features the elegance of deep blue in a modern and timeless composition.
*Dimensions : 0,78 x 0,59 inches 
*Material: Plated Gold 18k      
*Stones: Blue Ágate",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-19_blue-prism-ring-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-19,,80.0,0,FALSE,PERCENT,0,InStock,0,0
pink-drop-ring,Product,Pink Drop Ring,"Product Description :   *Designer : Delicate yet striking, this teardrop-shaped ring  showcases the intensity of pink in a modern and sophisticated design. 
*Dimensions : 0,98 x 0.59
*Material: Plated Gold 18k      
*Stones: Pink  Ágate",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-20_pink-drop-ring_1.webp;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-20_pink-drop-ring_2.webp,18k GOLD Plated,GOLD-20,,100.0,0,FALSE,PERCENT,0,InStock,0,0
pink-drop-earrings,Product,Pink Drop Earrings,"Product Description :   *Designer : Delicate yet striking, this teardrop-shaped earring showcases the intensity of pink in a modern and sophisticated design. 
*Dimensions : 0,98 x 0.59
*Material: Plated Gold 18k      
*Stones: Pink  Ágate",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-21_pink-drop-earrings_1.webp,18k GOLD Plated,GOLD-21,,100.0,0,FALSE,PERCENT,0,InStock,0,0
pink-drop-necklace,Product,Pink Drop Necklace,"Product Description :   *Designer : Delicate yet striking, this teardrop-shaped necklace  showcases the intensity of pink in a modern and sophisticated design. 
*Dimensions : 0,98 x 0.59 pendant  *Dimensions Chain : 15.74 inches 
*Material: Plated Gold 18k      
*Stones: Pink  Ágate",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-22_pink-drop-necklace_1.webp,18k GOLD Plated,GOLD-22,,90.0,0,FALSE,PERCENT,0,InStock,0,0
lavender-aura-earrings,Product,Lavender Aura Earrings,"Product Description :   With its delicate design and sophisticated finish, this earring showcases the softness and subtle brilliance of amethyst in an elegant and refined composition. 
*Dimensions : 0,98 x 0.59
*Material: Plated Gold 18k      
*Stones: Amethyst",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-23_lavender-aura-earrings_1.webp,18k GOLD Plated,GOLD-23,,120.0,0,FALSE,PERCENT,0,InStock,0,0
lavender-aura-necklace,Product,Lavender Aura Necklace,"Product Description :   With its delicate design and sophisticated finish, this earring showcases the softness and subtle brilliance of amethyst in an elegant and refined composition. 
*Dimensions pendant :0,98 x 0.59 *Dimensions chain : 15.74 inches 
*Material: Plated Gold 18k      
*Stones: Amethyst",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-24_lavender-aura-necklace_1.webp;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-24_lavender-aura-necklace_2.jpeg,18k GOLD Plated,GOLD-24,,100.0,0,FALSE,PERCENT,0,InStock,0,0
pink-lumiere-earring,Product,Pink Lumière Earring,"Product Description :   *Designer : *Lightweight and comfortable.
*Versatile for everyday wear or special occasions.
*A sophisticated and delicate touch of color.
*Dimensions : 0,39x 0,39 inches 
*Material: Plated Gold 18k      
*Stones: Pink  Crystal",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-25_pink-lumiere-earring_1.webp,18k GOLD Plated,GOLD-25,,65.0,0,FALSE,PERCENT,0,InStock,0,0
aqua-lumiere-earring,Product,Aqua Lumière Earring,"Product Description :   *Designer : *Lightweight and comfortable.
*Versatile for everyday wear or special occasions.
*A sophisticated and delicate touch of color.
*Dimensions : 0,39x 0,39 inches 
*Material: Plated Gold 18k      
*Stones: Blue Agate",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-26_aqua-lumiere-earring_1.webp;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-26_aqua-lumiere-earring_2.webp,18k GOLD Plated,GOLD-26,,65.0,0,FALSE,PERCENT,0,InStock,0,0
aqua-lumiere-ring,Product,Aqua Lumière Ring,"Product Description :   *Designer : *Lightweight and comfortable.
*Versatile for everyday wear or special occasions.
*A sophisticated and delicate touch of color.
*Dimensions : 0,39x 0,39 inches 
*Material: Plated Gold 18k      
*Stones: Blue Agate",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-27_aqua-lumiere-ring_1.webp;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-27_aqua-lumiere-ring_2.webp,18k GOLD Plated,GOLD-27,,60.0,0,FALSE,PERCENT,0,InStock,0,0
aqua-shine-earrings,Product,Aqua Shine Earrings,"Product Description :   *Designer : *Lightweight and comfortable.
*Versatile for everyday wear or special occasions.
*A sophisticated and delicate touch of color.
*Dimensions : 0,39x 0,39 inches 
*Material: Plated Gold 18k      
*Stones: Dark Blue Druse",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-28_aqua-shine-earrings_1.webp;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-28_aqua-shine-earrings_2.webp,18k GOLD Plated,GOLD-28,,65.0,0,FALSE,PERCENT,0,InStock,0,0
aqua-shine-ring,Product,Aqua Shine Ring,"Product Description :   *Designer : *Lightweight and comfortable.
*Versatile for everyday wear or special occasions.
*A sophisticated and delicate touch of color.
*Dimensions : 0,39x 0,39 inches 
*Material: Plated Gold 18k      
*Stones: Dark Blue Druse",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-29_aqua-shine-ring_1.webp;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-29_aqua-shine-ring_2.webp,18k GOLD Plated,GOLD-29,,60.0,0,FALSE,PERCENT,0,InStock,0,0
white-lumiere-earring,Product,White Lumiere Earring,"Product Description :   *Designer : *Lightweight and comfortable.
*Versatile for everyday wear or special occasions.
*A sophisticated and delicate touch of color.
*Dimensions : 0,39x 0,39 inches 
*Material: Plated Gold 18k      
*Stones: Aragonite Quartz",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-30_white-lumiere-earring_1.webp;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-30_white-lumiere-earring_2.webp,18k GOLD Plated,GOLD-30,,65.0,0,FALSE,PERCENT,0,InStock,0,0
imperial-square-ring,Product,Imperial Square Ring,"Product Description :   *Designer : Modern, structured, and with that elegant shine that captures attention in just the right measure — truly sophisticated.
*Dimensions :  0.59 x 0.59 inches 
*Material: Plated Gold 18k      
*Stones: Zirconia",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-31_imperial-square-ring_1.webp,18k GOLD Plated,GOLD-31,,80.0,0,FALSE,PERCENT,0,InStock,0,0
emerald-edge-earrings,Product,Emerald Edge Earrings,"Product Description :   *Designer : Modern and full of personality! The green gemstone in a geometric shape, paired with the curved gold structure, creates a contemporary and ultra-elegant design — perfect for a confident woman. 
*Dimensions :  0.98  x 0.59 inches 
*Material: Plated Gold 18k      
*Stones: Crystal Green",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-32_emerald-edge-earrings_1.webp,18k GOLD Plated,GOLD-32,,100.0,0,FALSE,PERCENT,0,InStock,0,0
emerald-edge-ring,Product,Emerald Edge Ring,"Product Description :   *Designer : Modern and full of personality! The green gemstone in a geometric shape, paired with the curved gold structure, creates a contemporary and ultra-elegant design — perfect for a confident woman. 
*Dimensions :  0.98  x 0.59 inches 
*Material: Plated Gold 18k      
*Stones: Crystal Green",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-33_emerald-edge-ring_1.webp,18k GOLD Plated,GOLD-33,,100.0,0,FALSE,PERCENT,0,InStock,0,0
oval-glam-earrings,Product,Oval Glam Earrings,"Product Description :   *Designer : Elegant and contemporary design
*Delicate and refined sparkle
*Perfect for special events or sophisticated looks .
*Dimensions :  2.95x 0.39 inches 
*Material: Plated Gold 18k      
*Stones: Smoke Quartz",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-34_oval-glam-earrings_1.jpeg;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-34_oval-glam-earrings_2.webp,18k GOLD Plated,GOLD-34,,165.0,0,FALSE,PERCENT,0,InStock,0,0
oval-glam-ring,Product,Oval Glam Ring,"Product Description :   *Designer : Elegant and contemporary design
*Delicate and refined sparkle
*Perfect for special events or sophisticated looks .
*Dimensions :  1.37 inches 
*Material: Plated Gold 18k      
*Stones: Smoke Quartz",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-35_oval-glam-ring_1.jpeg;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-35_oval-glam-ring_2.jpeg;https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-35_oval-glam-ring_3.webp,18k GOLD Plated,GOLD-35,,145.0,0,FALSE,PERCENT,0,InStock,0,0
ivory-luxe-earrings,Product,Ivory Luxe Earrings,"Product Description :   *Designer : This earring is elegant, modern, and incredibly sophisticated — the kind of piece that conveys power with delicacy. The nude stone makes it even more chic and timeless. 
*Dimensions : 0.98 x 0.59 inches 
*Material: Plated Gold 18k      
*Stones: Aragonite Quartz",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-36_ivory-luxe-earrings_1.webp,18k GOLD Plated,GOLD-36,,150.0,0,FALSE,PERCENT,0,InStock,0,0
